payment_id,loan_id,payment_date,amount_due,amount_paid,payment_status,days_overdue
40220,30008,2024-09-28,652.76,652.76,Paid,0
40221,30008,2024-10-28,652.76,652.76,Paid,0
40222,30008,2024-11-29,652.76,652.76,Paid,0
40223,30008,2024-12-30,652.76,652.76,Paid,0
40224,30008,2025-01-27,652.76,652.76,Paid,0
40225,30008,2025-03-01,652.76,652.76,Paid,0
40226,30008,2025-03-29,652.76,0,Missed,47
40227,30008,2025-04-29,652.76,652.76,Paid,0
40228,30008,2025-05-30,652.76,652.76,Paid,0
40229,30008,2025-06-29,652.76,652.76,Paid,0
40230,30008,2025-07-28,652.76,652.76,Paid,0
40231,30008,2025-08-25,652.76,652.76,Paid,0
40232,30008,2025-09-24,652.76,652.76,Paid,0
40233,30008,2025-10-24,652.76,652.76,Paid,0
40234,30008,2025-11-24,652.76,0,Missed,24
40235,30008,2025-12-23,652.76,652.76,Paid,0
40236,30008,2026-01-23,652.76,652.76,Paid,0
40237,30008,2026-02-24,652.76,652.76,Paid,0
40238,30008,2026-03-23,652.76,652.76,Paid,0
40239,30008,2026-04-22,652.76,652.76,Paid,0
40240,30008,2026-05-24,652.76,652.76,Paid,0
40241,30009,2024-01-05,131.49,131.49,Paid,0
40242,30009,2024-01-31,131.49,131.49,Paid,0
40243,30009,2024-03-02,131.49,131.49,Paid,0
40244,30009,2024-04-03,131.49,131.49,Paid,0
40245,30009,2024-05-05,131.49,131.49,Paid,0
40246,30009,2024-05-30,131.49,131.49,Paid,0
40247,30009,2024-07-02,131.49,131.49,Paid,0
40248,30009,2024-08-03,131.49,131.49,Paid,0
40249,30009,2024-09-02,131.49,131.49,Paid,0
40250,30009,2024-09-30,131.49,131.49,Paid,0
40251,30009,2024-10-31,131.49,131.49,Paid,0
40252,30009,2024-11-26,131.49,131.49,Paid,0
40253,30009,2024-12-31,131.49,131.49,Paid,0
40254,30009,2025-01-26,131.49,131.49,Paid,0
40255,30009,2025-02-27,131.49,131.49,Paid,0
40256,30009,2025-03-26,131.49,131.49,Paid,0
40257,30009,2025-04-27,131.49,131.49,Paid,0
40258,30009,2025-05-27,131.49,131.49,Paid,0
40259,30009,2025-06-26,131.49,131.49,Paid,0
40260,30009,2025-07-27,131.49,131.49,Paid,0
40261,30009,2025-08-28,131.49,0,Missed,15
40262,30009,2025-09-26,131.49,131.49,Paid,0
40263,30009,2025-10-27,131.49,131.49,Paid,0
40264,30009,2025-11-23,131.49,131.49,Paid,0
40265,30009,2025-12-26,131.49,131.49,Paid,0
40266,30009,2026-01-25,131.49,131.49,Paid,0
40267,30009,2026-02-19,131.49,131.49,Paid,0
40268,30009,2026-03-23,131.49,131.49,Paid,0
40269,30009,2026-04-21,131.49,131.49,Paid,0
40270,30009,2026-05-25,131.49,131.49,Paid,0
40271,30010,2024-01-03,88.36,88.36,Paid,0
40272,30010,2024-02-04,88.36,88.36,Paid,0
40273,30010,2024-03-01,88.36,88.36,Paid,0
40274,30010,2024-04-02,88.36,88.36,Paid,0
40275,30010,2024-05-02,88.36,88.36,Paid,0
40276,30010,2024-06-04,88.36,88.36,Paid,0
40277,30010,2024-07-04,88.36,88.36,Paid,0
40278,30010,2024-08-01,88.36,88.36,Paid,0
40279,30010,2024-08-30,88.36,88.36,Paid,0
40280,30010,2024-10-01,88.36,0,Missed,29
40281,30010,2024-10-28,88.36,88.36,Paid,0
40282,30010,2024-11-26,88.36,88.36,Paid,0
40283,30010,2024-12-27,88.36,88.36,Paid,0
40284,30010,2025-01-30,88.36,88.36,Paid,0
40285,30010,2025-02-24,88.36,88.36,Paid,0
40286,30010,2025-03-29,88.36,88.36,Paid,0
40287,30010,2025-04-25,88.36,42.76,Partial,6
40288,30010,2025-05-25,88.36,88.36,Paid,0
40289,30010,2025-06-28,88.36,88.36,Paid,0
40290,30010,2025-07-24,88.36,88.36,Paid,0
40291,30010,2025-08-27,88.36,88.36,Paid,0
40292,30010,2025-09-27,88.36,38.34,Partial,17
40293,30010,2025-10-23,88.36,88.36,Paid,0
40294,30010,2025-11-24,88.36,88.36,Paid,0
40295,30010,2025-12-22,88.36,88.36,Paid,0
40296,30010,2026-01-21,88.36,88.36,Paid,0
40297,30010,2026-02-24,88.36,88.36,Paid,0
40298,30010,2026-03-23,88.36,88.36,Paid,0
40299,30010,2026-04-23,88.36,0,Missed,37
40300,30010,2026-05-22,88.36,88.36,Paid,0
40301,30011,2024-01-02,787.41,0,Missed,47
40302,30011,2024-02-04,787.41,787.41,Paid,0
40303,30011,2024-03-05,787.41,787.41,Paid,0
40304,30011,2024-04-05,787.41,787.41,Paid,0
40305,30011,2024-05-04,787.41,787.41,Paid,0
40306,30011,2024-06-04,787.41,787.41,Paid,0
40307,30011,2024-07-01,787.41,385.04,Partial,17
40308,30011,2024-07-29,787.41,787.41,Paid,0
40309,30011,2024-08-30,787.41,787.41,Paid,0
40310,30011,2024-09-28,787.41,787.41,Paid,0
40311,30011,2024-10-27,787.41,787.41,Paid,0
40312,30011,2024-11-27,787.41,787.41,Paid,0
40313,30011,2024-12-29,787.41,787.41,Paid,0
40314,30011,2025-01-30,787.41,604.87,Partial,33
40315,30011,2025-02-26,787.41,787.41,Paid,0
40316,30011,2025-03-29,787.41,787.41,Paid,0
40317,30011,2025-04-29,787.41,787.41,Paid,0
40318,30011,2025-05-25,787.41,787.41,Paid,0
40319,30011,2025-06-25,787.41,787.41,Paid,0
40320,30011,2025-07-28,787.41,787.41,Paid,0
40321,30011,2025-08-24,787.41,787.41,Paid,0
40322,30011,2025-09-27,787.41,787.41,Paid,0
40323,30011,2025-10-25,787.41,787.41,Paid,0
40324,30011,2025-11-21,787.41,787.41,Paid,0
40325,30011,2025-12-22,787.41,787.41,Paid,0
40326,30011,2026-01-24,787.41,787.41,Paid,0
40327,30011,2026-02-24,787.41,787.41,Paid,0
40328,30011,2026-03-26,787.41,787.41,Paid,0
40329,30011,2026-04-22,787.41,787.41,Paid,0
40330,30011,2026-05-20,787.41,787.41,Paid,0
40331,30012,2024-01-03,911.37,911.37,Paid,0
40332,30012,2024-02-03,911.37,911.37,Paid,0
40333,30012,2024-03-03,911.37,911.37,Paid,0
40334,30012,2024-04-03,911.37,911.37,Paid,0
40335,30012,2024-04-30,911.37,911.37,Paid,0
40336,30012,2024-06-03,911.37,911.37,Paid,0
40337,30012,2024-06-29,911.37,911.37,Paid,0
40338,30012,2024-07-30,911.37,911.37,Paid,0
40339,30012,2024-09-02,911.37,911.37,Paid,0
40340,30012,2024-09-27,911.37,911.37,Paid,0
40341,30012,2024-10-30,911.37,911.37,Paid,0
40342,30012,2024-11-29,911.37,911.37,Paid,0
40343,30012,2024-12-29,911.37,0,Missed,32
40344,30012,2025-01-30,911.37,911.37,Paid,0
40345,30012,2025-02-26,911.37,911.37,Paid,0
40346,30012,2025-03-27,911.37,911.37,Paid,0
40347,30012,2025-04-28,911.37,911.37,Paid,0
40348,30012,2025-05-28,911.37,911.37,Paid,0
40349,30012,2025-06-26,911.37,911.37,Paid,0
40350,30012,2025-07-24,911.37,911.37,Paid,0
40351,30012,2025-08-28,911.37,911.37,Paid,0
40352,30012,2025-09-25,911.37,911.37,Paid,0
40353,30012,2025-10-22,911.37,911.37,Paid,0
40354,30012,2025-11-26,911.37,911.37,Paid,0
40355,30012,2025-12-25,911.37,911.37,Paid,0
40356,30012,2026-01-21,911.37,911.37,Paid,0
40357,30012,2026-02-24,911.37,0,Missed,62
40358,30012,2026-03-23,911.37,911.37,Paid,0
40359,30012,2026-04-25,911.37,911.37,Paid,0
40360,30012,2026-05-24,911.37,911.37,Paid,0
40361,30013,2024-01-03,2993.11,2993.11,Paid,0
40362,30013,2024-02-02,2993.11,2993.11,Paid,0
40363,30013,2024-03-01,2993.11,2993.11,Paid,0
40364,30013,2024-04-01,2993.11,0,Missed,18
40365,30013,2024-05-05,2993.11,2993.11,Paid,0
40366,30013,2024-05-30,2993.11,2993.11,Paid,0
40367,30013,2024-07-01,2993.11,2993.11,Paid,0
40368,30013,2024-08-01,2993.11,2993.11,Paid,0
40369,30013,2024-08-28,2993.11,0,Missed,40
40370,30013,2024-10-02,2993.11,2993.11,Paid,0
40371,30013,2024-10-31,2993.11,2993.11,Paid,0
40372,30013,2024-11-26,2993.11,2993.11,Paid,0
40373,30013,2024-12-29,2993.11,2993.11,Paid,0
40374,30013,2025-01-29,2993.11,2993.11,Paid,0
40375,30013,2025-03-01,2993.11,2993.11,Paid,0
40376,30013,2025-03-28,2993.11,2993.11,Paid,0
40377,30013,2025-04-30,2993.11,2993.11,Paid,0
40378,30013,2025-05-25,2993.11,2993.11,Paid,0
40379,30013,2025-06-25,2993.11,2993.11,Paid,0
40380,30013,2025-07-28,2993.11,2993.11,Paid,0
40381,30013,2025-08-25,2993.11,2993.11,Paid,0
40382,30013,2025-09-25,2993.11,2993.11,Paid,0
40383,30013,2025-10-22,2993.11,2993.11,Paid,0
40384,30013,2025-11-23,2993.11,2993.11,Paid,0
40385,30013,2025-12-23,2993.11,1470.16,Partial,31
40386,30013,2026-01-24,2993.11,2993.11,Paid,0
40387,30013,2026-02-24,2993.11,2993.11,Paid,0
40388,30013,2026-03-25,2993.11,2993.11,Paid,0
40389,30013,2026-04-22,2993.11,2993.11,Paid,0
40390,30013,2026-05-23,2993.11,2993.11,Paid,0
40391,30014,2024-01-05,749.43,399.23,Partial,7
40392,30014,2024-02-04,749.43,749.43,Paid,0
40393,30014,2024-03-03,749.43,749.43,Paid,0
40394,30014,2024-04-04,749.43,749.43,Paid,0
40395,30014,2024-04-30,749.43,749.43,Paid,0
40396,30014,2024-06-03,749.43,749.43,Paid,0
40397,30014,2024-06-30,749.43,428.55,Partial,26
40398,30014,2024-08-02,749.43,749.43,Paid,0
40399,30014,2024-09-02,749.43,749.43,Paid,0
40400,30014,2024-10-01,749.43,749.43,Paid,0
40401,30014,2024-10-28,749.43,749.43,Paid,0
40402,30014,2024-11-29,749.43,749.43,Paid,0
40403,30014,2024-12-27,749.43,749.43,Paid,0
40404,30014,2025-01-27,749.43,749.43,Paid,0
40405,30014,2025-02-26,749.43,749.43,Paid,0
40406,30014,2025-03-30,749.43,749.43,Paid,0
40407,30014,2025-04-25,749.43,749.43,Paid,0
40408,30014,2025-05-26,749.43,749.43,Paid,0
40409,30014,2025-06-24,749.43,749.43,Paid,0
40410,30014,2025-07-27,749.43,749.43,Paid,0
40411,30014,2025-08-23,749.43,749.43,Paid,0
40412,30014,2025-09-25,749.43,749.43,Paid,0
40413,30014,2025-10-26,749.43,749.43,Paid,0
40414,30014,2025-11-25,749.43,749.43,Paid,0
40415,30014,2025-12-23,749.43,749.43,Paid,0
40416,30014,2026-01-25,749.43,749.43,Paid,0
40417,30014,2026-02-20,749.43,749.43,Paid,0
40418,30014,2026-03-21,749.43,749.43,Paid,0
40419,30014,2026-04-25,749.43,749.43,Paid,0
40420,30014,2026-05-24,749.43,749.43,Paid,0
40421,30015,2024-01-04,676.18,676.18,Paid,0
40422,30015,2024-02-05,676.18,676.18,Paid,0
40423,30015,2024-03-05,676.18,676.18,Paid,0
40424,30015,2024-03-31,676.18,676.18,Paid,0
40425,30015,2024-05-02,676.18,676.18,Paid,0
40426,30015,2024-05-31,676.18,0,Missed,9
40427,30015,2024-06-29,676.18,676.18,Paid,0
40428,30015,2024-08-02,676.18,676.18,Paid,0
40429,30015,2024-08-29,676.18,676.18,Paid,0
40430,30015,2024-09-28,676.18,676.18,Paid,0
40431,30015,2024-10-28,676.18,676.18,Paid,0
40432,30015,2024-11-30,676.18,676.18,Paid,0
40433,30015,2024-12-26,676.18,676.18,Paid,0
40434,30015,2025-01-29,676.18,676.18,Paid,0
40435,30015,2025-02-27,676.18,676.18,Paid,0
40436,30015,2025-03-29,676.18,202.91,Partial,14
40437,30015,2025-04-29,676.18,676.18,Paid,0
40438,30015,2025-05-27,676.18,676.18,Paid,0
40439,30015,2025-06-28,676.18,0,Missed,31
40440,30015,2025-07-26,676.18,358.41,Partial,23
40441,30015,2025-08-25,676.18,676.18,Paid,0
40442,30015,2025-09-27,676.18,676.18,Paid,0
40443,30015,2025-10-27,676.18,676.18,Paid,0
40444,30015,2025-11-22,676.18,676.18,Paid,0
40445,30015,2025-12-22,676.18,676.18,Paid,0
40446,30015,2026-01-24,676.18,238.32,Partial,64
40447,30015,2026-02-22,676.18,676.18,Paid,0
40448,30015,2026-03-24,676.18,676.18,Paid,0
40449,30015,2026-04-20,676.18,0,Missed,41
40450,30015,2026-05-20,676.18,676.18,Paid,0
40451,30016,2024-01-03,3510.37,3510.37,Paid,0
40452,30016,2024-02-01,3510.37,3510.37,Paid,0
40453,30016,2024-03-03,3510.37,3510.37,Paid,0
40454,30016,2024-04-05,3510.37,3510.37,Paid,0
40455,30016,2024-05-04,3510.37,3510.37,Paid,0
40456,30016,2024-06-03,3510.37,1027.94,Partial,5
40457,30016,2024-07-02,3510.37,3510.37,Paid,0
40458,30016,2024-07-30,3510.37,3510.37,Paid,0
40459,30016,2024-09-01,3510.37,3510.37,Paid,0
40460,30016,2024-09-29,3510.37,3510.37,Paid,0
40461,30016,2024-10-27,3510.37,3510.37,Paid,0
40462,30016,2024-11-30,3510.37,2248.6,Partial,49
40463,30016,2024-12-28,3510.37,3510.37,Paid,0
40464,30016,2025-01-26,3510.37,3510.37,Paid,0
40465,30016,2025-03-01,3510.37,3510.37,Paid,0
40466,30016,2025-03-26,3510.37,3510.37,Paid,0
40467,30016,2025-04-27,3510.37,3510.37,Paid,0
40468,30016,2025-05-29,3510.37,3510.37,Paid,0
40469,30016,2025-06-24,3510.37,1406.37,Partial,59
40470,30016,2025-07-27,3510.37,3510.37,Paid,0
40471,30016,2025-08-23,3510.37,3510.37,Paid,0
40472,30016,2025-09-23,3510.37,3510.37,Paid,0
40473,30016,2025-10-26,3510.37,2037.18,Partial,43
40474,30016,2025-11-24,3510.37,3510.37,Paid,0
40475,30016,2025-12-25,3510.37,3510.37,Paid,0
40476,30016,2026-01-24,3510.37,3510.37,Paid,0
40477,30016,2026-02-21,3510.37,3510.37,Paid,0
40478,30016,2026-03-22,3510.37,3510.37,Paid,0
40479,30016,2026-04-25,3510.37,3510.37,Paid,0
40480,30016,2026-05-23,3510.37,0,Missed,51
40481,30017,2024-01-05,1650.58,1650.58,Paid,0
40482,30017,2024-01-31,1650.58,1650.58,Paid,0
40483,30017,2024-03-03,1650.58,1650.58,Paid,0
40484,30017,2024-04-01,1650.58,1650.58,Paid,0
40485,30017,2024-04-30,1650.58,1650.58,Paid,0
40486,30017,2024-06-04,1650.58,1650.58,Paid,0
40487,30017,2024-07-02,1650.58,1650.58,Paid,0
40488,30017,2024-08-01,1650.58,1650.58,Paid,0
40489,30017,2024-09-02,1650.58,1650.58,Paid,0
40490,30017,2024-09-28,1650.58,1650.58,Paid,0
40491,30017,2024-10-28,1650.58,1650.58,Paid,0
40492,30017,2024-12-01,1650.58,1650.58,Paid,0
40493,30017,2024-12-30,1650.58,1650.58,Paid,0
40494,30017,2025-01-30,1650.58,1650.58,Paid,0
40495,30017,2025-02-25,1650.58,1650.58,Paid,0
40496,30017,2025-03-29,1650.58,1650.58,Paid,0
40497,30017,2025-04-29,1650.58,1650.58,Paid,0
40498,30017,2025-05-30,1650.58,1650.58,Paid,0
40499,30017,2025-06-26,1650.58,1650.58,Paid,0
40500,30017,2025-07-26,1650.58,1650.58,Paid,0
40501,30017,2025-08-28,1650.58,1650.58,Paid,0
40502,30017,2025-09-24,1650.58,1650.58,Paid,0
40503,30017,2025-10-24,1650.58,1650.58,Paid,0
40504,30017,2025-11-24,1650.58,1650.58,Paid,0
40505,30017,2025-12-24,1650.58,1650.58,Paid,0
40506,30017,2026-01-21,1650.58,1650.58,Paid,0
