alert_id,customer_id,account_id,alert_type,risk_score,severity,detected_date,status,assigned_team
58,10201,20157,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
59,10202,,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
60,10211,20094,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
61,10214,,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
62,10215,20058,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
63,10219,20311,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
64,10222,,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
66,10223,20114,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
67,10225,20258,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
68,10226,20017,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
69,10228,,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
70,10235,20073,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
71,10236,20228,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
73,10243,,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
75,10250,20009,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
76,10037,20008,Rapid Cross-Border Activity,45,High,2026-09-20,Open,Financial Crime Operations
77,10082,20010,Rapid Cross-Border Activity,45,High,2026-09-20,Open,Financial Crime Operations
78,10113,20007,Rapid Cross-Border Activity,45,High,2026-09-20,Open,Financial Crime Operations
79,10250,20009,Rapid Cross-Border Activity,45,High,2026-09-20,Open,Financial Crime Operations
80,10037,20008,Overdraft Activity Spike,35,Medium,2026-09-20,Open,Customer Operations
81,10082,20010,Overdraft Activity Spike,35,Medium,2026-09-20,Open,Customer Operations
82,10084,20039,Overdraft Activity Spike,35,Medium,2026-09-20,Open,Customer Operations
83,10104,20006,Overdraft Activity Spike,35,Medium,2026-09-20,Open,Customer Operations
84,10113,20007,Overdraft Activity Spike,35,Medium,2026-09-20,Open,Customer Operations
85,10196,20239,Overdraft Activity Spike,35,Medium,2026-09-20,Open,Customer Operations
86,10246,20241,Overdraft Activity Spike,35,Medium,2026-09-20,Open,Customer Operations
