loan_id,customer_id,loan_type,principal_amount,outstanding_balance,interest_rate,monthly_repayment,loan_status
30081,10186,Vehicle,40000,37862.47,7.93,290.48,Active
30082,10023,Home,75000,61413.92,6.33,1196.75,Active
30083,10096,Home,120000,77060.3,5.82,2338.04,Active
30084,10222,Personal,25000,16187.46,6.03,492.67,Active
30085,10223,Personal,120000,73230.91,7.85,1782.63,Active
30086,10036,Vehicle,180000,109402.36,7.04,1272.51,Active
30087,10037,Home,40000,33629.32,6.82,233.84,Active
30088,10046,Home,15000,5294.54,6.24,124.93,Active
30089,10148,Personal,350000,295639.0,7.61,7163.41,Active
30090,10158,Home,250000,151034.47,8.11,1841.26,Active
30091,10002,Home,75000,60773.64,8.07,1234.31,Active
30092,10194,Vehicle,75000,27096.54,5.51,166.56,Active
30093,10064,Home,180000,98391.26,5.78,692.47,Active
30094,10151,Home,25000,21725.54,6.31,423.15,Active
30095,10117,Personal,180000,112177.64,7.35,2704.49,Active
30096,10088,Vehicle,350000,201714.82,6.01,2240.46,Active
30097,10005,Home,40000,19321.99,5.56,133.57,Active
30098,10044,Home,15000,8795.57,7.23,69.41,Active
30099,10160,Home,15000,11505.62,7.26,356.63,Active
30100,10013,Personal,250000,157479.5,5.83,3032.09,Active
30101,10122,Personal,75000,59097.82,7.2,1175.79,Active
30102,10108,Personal,120000,89083.51,7.39,1052.33,Active
30103,10213,Vehicle,25000,13202.63,7.62,157.55,Active
30104,10051,Personal,120000,104861.31,8.13,2132.74,Active
30105,10181,Home,40000,14993.02,6.84,357.91,Active
30106,10177,Vehicle,180000,89592.9,5.53,2706.55,Active
30107,10233,Home,350000,155386.36,5.74,1090.06,Active
30108,10020,Personal,25000,23000.28,7.24,269.91,Active
30109,10076,Home,15000,6193.19,5.97,188.32,Active
30110,10219,Home,180000,111307.86,5.81,3376.63,Active
30111,10003,Vehicle,40000,22282.25,7.92,185.27,Active
30112,10069,Vehicle,25000,14618.8,6.43,447.59,Active
30113,10103,Home,350000,182439.2,6.54,2075.28,Active
30114,10205,Home,40000,16849.03,7.38,523.18,Active
30115,10242,Vehicle,25000,15302.44,7.1,119.56,Active
30116,10174,Home,250000,210218.38,7.15,1505.96,Active
30117,10226,Vehicle,40000,26173.61,6.82,301.48,Active
30118,10113,Home,120000,91516.0,5.53,563.63,Active
30119,10135,Personal,75000,72455.57,7.31,1445.33,Active
30120,10133,Personal,25000,15567.35,7.46,184.46,Active
30121,10089,Personal,250000,110913.08,7.73,909.17,Active
30122,10014,Home,40000,26740.3,6.77,307.32,Active
30123,10223,Home,350000,193199.76,6.39,3770.23,Active
30124,10013,Personal,250000,151016.13,6.13,1686.46,Active
30125,10114,Vehicle,350000,141908.38,6.85,2799.92,Active
30126,10031,Vehicle,15000,6219.98,6.61,46.78,Active
30127,10141,Home,25000,21220.59,8.1,165.19,Active
30128,10078,Vehicle,75000,57179.66,6.73,1124.96,Active
30129,10094,Vehicle,75000,66144.0,6.4,489.27,Active
30130,10154,Home,180000,144184.59,5.81,912.31,Active
30131,10057,Home,180000,157108.83,8.1,3193.12,Active
30132,10141,Personal,25000,9471.01,5.94,222.17,Active
30133,10211,Personal,250000,104346.44,7.15,2505.97,Active
30134,10031,Vehicle,250000,121455.35,7.73,2949.71,Active
30135,10184,Home,250000,94823.81,7.21,682.95,Active
30136,10151,Home,350000,223354.03,7.09,1743.75,Active
30137,10035,Vehicle,15000,10261.94,5.63,112.03,Active
30138,10215,Personal,40000,31433.81,5.97,737.79,Active
30139,10027,Home,180000,120166.09,6.54,898.76,Active
30140,10235,Personal,75000,39177.41,8.1,796.25,Active
30141,10116,Vehicle,40000,24401.19,7.39,178.58,Active
30142,10132,Home,180000,143726.55,8.03,1112.16,Active
30143,10056,Home,120000,93907.81,7.99,2292.12,Active
30144,10182,Personal,40000,26698.11,7.37,533.33,Active
30145,10182,Home,180000,126762.58,7.07,901.6,Active
30146,10182,Home,120000,108337.28,6.64,3327.34,Active
30147,10134,Home,250000,110388.96,7.31,2659.31,Active
30148,10069,Personal,40000,38785.02,7.35,935.07,Active
30149,10215,Home,120000,57422.47,6.96,1135.95,Active
30150,10209,Home,75000,61329.0,7.02,1469.17,Active
30151,10131,Personal,120000,94385.97,5.63,1030.43,Active
30152,10100,Home,180000,172525.49,5.65,1074.97,Active
30153,10065,Home,350000,305511.36,7.96,2349.9,Active
30154,10182,Personal,75000,62922.93,8.1,1278.86,Active
30155,10115,Home,25000,11694.88,5.97,83.58,Active
30156,10031,Home,250000,131460.18,6.21,3100.02,Active
30157,10150,Vehicle,15000,8373.82,7.42,202.16,Active
30158,10011,Home,180000,130686.23,7.59,973.42,Active
30159,10158,Vehicle,120000,79085.65,7.05,1567.86,Active
30160,10019,Personal,180000,122579.8,8.08,1031.42,Active
30161,10018,Personal,40000,24481.47,6.95,755.36,Active
30162,10090,Home,75000,57592.55,6.39,1123.9,Active
30163,10056,Vehicle,350000,342257.15,7.72,2578.43,Active
30164,10003,Home,180000,113538.67,7.94,945.45,Active
30165,10236,Personal,15000,11700.11,6.37,357.9,Active
30166,10099,Home,120000,43867.75,6.9,866.57,Active
30167,10132,Vehicle,350000,229840.44,6.3,1523.3,Active
30168,10050,Home,25000,23684.34,5.95,169.0,Active
30169,10137,Home,25000,12069.81,7.2,290.15,Active
30170,10222,Personal,25000,11987.88,7.74,90.47,Active
30171,10199,Home,25000,20513.53,5.92,226.92,Active
30172,10184,Home,25000,9903.66,5.98,191.37,Active
30173,10143,Home,75000,69294.12,6.6,790.35,Active
30174,10162,Home,180000,64915.44,7.32,515.83,Active
30175,10002,Personal,25000,20656.38,7.08,147.05,Active
30176,10218,Home,25000,13314.93,7.35,106.05,Active
30177,10023,Home,350000,206601.69,7.72,6447.49,Active
30178,10122,Home,75000,32694.02,6.56,244.91,Active
30179,10076,Vehicle,40000,21511.02,7.89,164.46,Active
30180,10166,Home,15000,10480.8,7.0,323.62,Active
