escalation_id,alert_id,created_at,validation_started,validation_completed,resolution_time_hours,escalation_status,resolution_reason
34,39,2026-09-20T10:54,2026-09-20T11:06,2026-09-20T23:04,11.98,Open,
35,40,2026-09-20T11:52,2026-09-20T11:57,2026-09-21T22:22,34.43,Resolved,Validated and routed for review
36,41,2026-09-20T10:14,2026-09-20T10:51,2026-09-21T14:45,27.91,Resolved,Validated and routed for review
37,42,2026-09-20T08:54,2026-09-20T09:54,2026-09-21T17:24,31.51,Resolved,Validated and routed for review
38,44,2026-09-20T12:19,2026-09-20T13:02,2026-09-20T21:47,8.76,In Progress,Validated and routed for review
39,45,2026-09-20T09:22,2026-09-20T10:01,2026-09-22T07:58,45.95,Resolved,Validated and routed for review
40,46,2026-09-20T08:00,2026-09-20T08:43,2026-09-20T21:44,13.02,Open,
41,47,2026-09-20T08:57,2026-09-20T09:25,2026-09-22T04:04,42.66,In Progress,Validated and routed for review
42,48,2026-09-20T10:02,2026-09-20T10:10,2026-09-20T20:21,10.19,Resolved,Validated and routed for review
43,49,2026-09-20T08:40,2026-09-20T08:50,2026-09-21T11:43,26.88,Open,
44,50,2026-09-20T12:32,2026-09-20T13:26,2026-09-20T22:58,9.53,Resolved,Validated and routed for review
45,51,2026-09-20T12:03,2026-09-20T12:43,2026-09-20T20:19,7.61,Resolved,Validated and routed for review
46,52,2026-09-20T11:36,2026-09-20T11:54,2026-09-21T21:28,33.58,Resolved,Validated and routed for review
47,55,2026-09-20T09:42,2026-09-20T10:32,2026-09-20T23:07,12.6,Resolved,Validated and routed for review
48,56,2026-09-20T11:11,2026-09-20T11:44,2026-09-22T07:18,43.58,In Progress,Validated and routed for review
49,57,2026-09-20T09:01,2026-09-20T09:21,2026-09-20T18:59,9.64,In Progress,Validated and routed for review
50,58,2026-09-20T08:10,2026-09-20T08:52,2026-09-21T05:41,20.83,Resolved,Validated and routed for review
51,59,2026-09-20T09:52,2026-09-20T09:57,2026-09-20T14:21,4.41,Resolved,Validated and routed for review
52,60,2026-09-20T08:30,2026-09-20T08:49,2026-09-20T13:06,4.29,Open,
53,61,2026-09-20T10:49,2026-09-20T10:58,2026-09-21T06:26,19.48,In Progress,Validated and routed for review
54,62,2026-09-20T12:08,2026-09-20T12:26,2026-09-21T16:09,27.73,Resolved,Validated and routed for review
55,63,2026-09-20T12:52,2026-09-20T13:33,2026-09-21T07:37,18.07,In Progress,Validated and routed for review
56,64,2026-09-20T11:28,2026-09-20T11:45,2026-09-20T19:54,8.15,Resolved,Validated and routed for review
57,66,2026-09-20T11:40,2026-09-20T12:07,2026-09-21T10:45,22.64,In Progress,Validated and routed for review
58,67,2026-09-20T08:27,2026-09-20T09:15,2026-09-21T18:00,32.75,Resolved,Validated and routed for review
59,68,2026-09-20T08:50,2026-09-20T08:58,2026-09-21T00:39,15.69,In Progress,Validated and routed for review
60,69,2026-09-20T08:55,2026-09-20T09:15,2026-09-20T17:45,8.51,Resolved,Validated and routed for review
61,70,2026-09-20T11:49,2026-09-20T12:02,2026-09-21T10:35,22.56,In Progress,Validated and routed for review
62,71,2026-09-20T11:56,2026-09-20T12:16,2026-09-22T06:44,42.48,Open,
63,73,2026-09-20T11:46,2026-09-20T12:42,2026-09-22T06:35,41.9,Resolved,Validated and routed for review
64,75,2026-09-20T08:50,2026-09-20T08:58,2026-09-21T09:08,24.17,Resolved,Validated and routed for review
65,76,2026-09-20T08:07,2026-09-20T08:17,2026-09-22T05:02,44.76,Open,
66,77,2026-09-20T09:25,2026-09-20T09:56,2026-09-21T11:18,25.37,Open,
67,78,2026-09-20T11:25,2026-09-20T11:33,2026-09-20T22:47,11.24,Open,
68,79,2026-09-20T11:19,2026-09-20T11:40,2026-09-22T08:26,44.77,In Progress,Validated and routed for review
69,80,2026-09-20T10:26,2026-09-20T10:58,2026-09-21T12:39,25.68,Resolved,Validated and routed for review
70,81,2026-09-20T12:44,2026-09-20T13:31,2026-09-21T15:56,26.43,Open,
71,82,2026-09-20T09:37,2026-09-20T10:00,2026-09-20T19:24,9.4,Open,
72,83,2026-09-20T12:56,2026-09-20T13:48,2026-09-21T10:14,20.43,Resolved,Validated and routed for review
73,84,2026-09-20T10:40,2026-09-20T10:48,2026-09-20T14:30,3.7,In Progress,Validated and routed for review
74,85,2026-09-20T12:17,2026-09-20T13:16,2026-09-21T09:19,20.06,Open,
75,86,2026-09-20T12:20,2026-09-20T12:30,2026-09-21T19:26,30.95,Open,
