transaction_id,account_id,transaction_date,transaction_type,amount,merchant_category,country,channel
50071,20127,2026-07-19,Credit,2242.62,Healthcare,New Zealand,Branch
50072,20073,2026-02-17,Credit,3799.2,Groceries,New Zealand,POS
50073,20027,2026-05-24,Credit,1028.54,Transfer,New Zealand,Online
50074,20286,2026-04-29,Debit,773.9,Transfer,New Zealand,ATM
50075,20313,2026-06-28,Debit,3137.65,Salary,New Zealand,Branch
50076,20121,2026-02-12,Debit,4280.78,Groceries,New Zealand,Branch
50077,20015,2026-03-07,Debit,1046.57,Transfer,New Zealand,POS
50078,20231,2026-03-09,Debit,2923.17,Utilities,New Zealand,ATM
50079,20142,2026-08-17,Credit,2897.16,ATM,New Zealand,ATM
50080,20025,2026-06-10,Credit,3546.41,Utilities,Canada,ATM
50081,20313,2026-03-04,Debit,423.7,Travel,New Zealand,Online
50082,20208,2026-06-04,Debit,3402.07,Utilities,New Zealand,Mobile
50083,20143,2026-02-02,Credit,519.06,Dining,New Zealand,ATM
50084,20269,2026-04-22,Credit,1459.13,Fuel,New Zealand,Mobile
50085,20112,2026-08-08,Credit,4272.51,Utilities,New Zealand,Online
50086,20175,2026-06-19,Debit,4361.62,Groceries,New Zealand,Online
50087,20243,2026-03-16,Debit,2750.77,Dining,New Zealand,Mobile
50088,20179,2026-03-22,Debit,3516.96,Healthcare,New Zealand,ATM
50089,20120,2026-01-03,Credit,1634.55,Groceries,New Zealand,Mobile
50090,20050,2026-03-08,Debit,2177.61,Groceries,New Zealand,Online
50091,20181,2026-06-18,Debit,2201.04,Healthcare,Canada,ATM
50092,20080,2026-07-12,Debit,1941.0,Groceries,New Zealand,Branch
50093,20215,2026-07-24,Debit,3560.15,Dining,New Zealand,Branch
50094,20149,2026-02-13,Credit,1162.53,Healthcare,New Zealand,Mobile
50095,20260,2026-08-18,Debit,3365.87,Salary,New Zealand,Branch
50096,20024,2026-02-20,Credit,2775.32,Travel,New Zealand,ATM
50097,20302,2026-03-12,Debit,3064.46,Salary,United States,ATM
50098,20167,2026-07-04,Debit,404.03,Utilities,New Zealand,Mobile
50099,20203,2026-06-15,Credit,528.28,Retail,New Zealand,POS
50100,20112,2026-05-06,Debit,2837.21,Salary,Singapore,ATM
50101,20148,2026-09-19,Credit,69.08,Healthcare,New Zealand,Mobile
50102,20162,2026-05-24,Debit,4004.11,Travel,New Zealand,ATM
50103,20176,2026-06-30,Debit,4089.49,Utilities,New Zealand,Online
50104,20181,2026-01-16,Debit,3918.5,Salary,India,Branch
50105,20026,2026-06-10,Credit,1682.68,Groceries,New Zealand,Online
50106,20074,2026-02-11,Credit,1384.97,ATM,Australia,ATM
50107,20027,2026-06-30,Credit,666.68,Fuel,United States,ATM
50108,20087,2026-01-19,Debit,3960.93,Salary,New Zealand,POS
50109,20116,2026-01-16,Credit,3837.37,Groceries,New Zealand,Branch
50110,20117,2026-03-31,Credit,2723.7,Salary,New Zealand,Mobile
50111,20064,2026-03-14,Debit,2671.27,ATM,New Zealand,ATM
50112,20205,2026-07-09,Debit,3860.24,Dining,New Zealand,POS
50113,20136,2026-04-02,Credit,1080.38,Transfer,Canada,Online
50114,20019,2026-06-11,Credit,3788.57,Groceries,New Zealand,Online
50115,20027,2026-01-02,Credit,3594.57,Fuel,New Zealand,Mobile
50116,20085,2026-06-12,Debit,2127.7,Dining,New Zealand,Mobile
50117,20037,2026-03-18,Debit,2207.47,Groceries,New Zealand,Online
50118,20150,2026-05-31,Credit,2845.43,Retail,New Zealand,ATM
50119,20107,2026-01-28,Debit,3313.52,Healthcare,New Zealand,Mobile
50120,20147,2026-01-21,Credit,3343.25,Dining,New Zealand,POS
50121,20110,2026-06-04,Debit,4145.31,Fuel,New Zealand,POS
50122,20172,2026-06-06,Debit,3357.94,Dining,Canada,POS
50123,20171,2026-06-13,Debit,3617.82,Transfer,New Zealand,Online
50124,20251,2026-01-08,Debit,3879.63,ATM,New Zealand,Online
50125,20121,2026-06-05,Credit,3151.78,ATM,New Zealand,ATM
50126,20278,2026-07-13,Debit,1655.14,Dining,New Zealand,Online
50127,20250,2026-04-03,Credit,2856.43,Fuel,New Zealand,Online
50128,20246,2026-04-16,Debit,2124.75,Dining,New Zealand,Online
50129,20076,2026-02-04,Credit,295.02,Salary,New Zealand,POS
50130,20240,2026-03-22,Debit,2006.4,Fuel,New Zealand,Mobile
50131,20111,2026-09-01,Debit,2546.39,Healthcare,New Zealand,Online
50132,20151,2026-06-09,Debit,882.39,Fuel,Australia,ATM
50133,20281,2026-04-11,Debit,3568.67,Salary,United Kingdom,Mobile
50134,20125,2026-09-18,Debit,328.52,ATM,New Zealand,Branch
50135,20087,2026-07-24,Credit,2067.31,Utilities,New Zealand,Online
50136,20100,2026-08-30,Debit,2373.92,Fuel,New Zealand,Branch
50137,20137,2026-04-01,Debit,3749.57,Salary,India,POS
50138,20196,2026-07-01,Debit,2342.68,Retail,New Zealand,Branch
50139,20005,2026-04-09,Debit,2592.39,Transfer,New Zealand,Online
50140,20241,2026-05-24,Debit,1778.79,Retail,New Zealand,Branch
50141,20318,2026-06-01,Debit,564.8,Travel,New Zealand,POS
50142,20186,2026-03-22,Debit,1889.75,Transfer,United States,POS
50143,20142,2026-07-21,Debit,2404.99,Travel,New Zealand,Branch
50144,20143,2026-01-07,Credit,3035.28,Retail,New Zealand,Branch
50145,20219,2026-03-25,Debit,4287.77,ATM,New Zealand,POS
50146,20287,2026-07-27,Debit,3030.0,Transfer,New Zealand,ATM
50147,20115,2026-08-06,Credit,2196.68,Utilities,UAE,Mobile
50148,20303,2026-09-05,Credit,1848.32,Fuel,New Zealand,Branch
50149,20301,2026-08-01,Credit,3220.59,Fuel,New Zealand,Branch
50150,20113,2026-08-13,Credit,2885.34,ATM,New Zealand,POS
50151,20244,2026-07-09,Debit,2454.21,Groceries,New Zealand,POS
50152,20301,2026-01-14,Debit,32.27,Travel,New Zealand,ATM
50153,20116,2026-02-10,Credit,1663.26,ATM,New Zealand,POS
50154,20265,2026-08-24,Debit,2289.08,Retail,UAE,Mobile
50155,20105,2026-04-10,Credit,3996.62,Healthcare,India,Branch
50156,20280,2026-02-12,Debit,1554.79,Retail,New Zealand,ATM
50157,20108,2026-01-28,Debit,291.78,ATM,United States,Branch
50158,20156,2026-04-09,Credit,2611.77,Retail,New Zealand,Branch
50159,20125,2026-09-15,Debit,3079.61,Salary,Canada,Online
50160,20213,2026-03-04,Debit,1681.6,Dining,India,Branch
50161,20092,2026-01-26,Debit,2345.42,Utilities,New Zealand,Branch
50162,20174,2026-03-06,Debit,93.27,Salary,New Zealand,Mobile
50163,20222,2026-09-06,Debit,3658.38,Salary,New Zealand,ATM
50164,20160,2026-03-21,Credit,3343.81,Salary,Japan,Mobile
50165,20197,2026-04-04,Debit,2234.8,Fuel,New Zealand,Mobile
50166,20210,2026-02-05,Credit,578.3,ATM,New Zealand,Branch
50167,20147,2026-02-20,Debit,2051.46,Healthcare,New Zealand,Branch
50168,20199,2026-06-25,Credit,2335.07,ATM,Australia,POS
50169,20166,2026-01-11,Credit,3343.48,Transfer,New Zealand,Online
50170,20099,2026-04-16,Credit,2942.79,Groceries,New Zealand,Mobile
50171,20174,2026-05-09,Debit,4376.95,Groceries,United Kingdom,ATM
50172,20088,2026-04-30,Debit,309.06,Fuel,United Kingdom,POS
50173,20195,2026-01-02,Credit,4103.92,ATM,Canada,Branch
50174,20005,2026-06-23,Debit,2399.36,ATM,New Zealand,Online
50175,20315,2026-05-20,Debit,3197.17,Travel,New Zealand,Branch
50176,20157,2026-02-02,Debit,2304.63,Retail,New Zealand,Mobile
50177,20183,2026-05-12,Debit,2206.65,Fuel,New Zealand,Online
50178,20139,2026-04-17,Credit,3714.45,Travel,New Zealand,ATM
50179,20259,2026-08-28,Debit,1648.07,Healthcare,New Zealand,Mobile
50180,20225,2026-05-04,Debit,643.19,Groceries,New Zealand,POS
50181,20039,2026-09-18,Debit,3448.5,Fuel,New Zealand,POS
50182,20027,2026-03-31,Credit,1862.9,Transfer,New Zealand,POS
50183,20224,2026-05-16,Debit,1178.42,Healthcare,United Kingdom,Branch
50184,20251,2026-04-06,Credit,2098.33,Salary,New Zealand,POS
50185,20085,2026-02-14,Credit,2026.65,Healthcare,New Zealand,Branch
50186,20136,2026-07-08,Debit,23.03,Retail,New Zealand,ATM
50187,20063,2026-09-14,Debit,652.38,Salary,Canada,POS
50188,20075,2026-07-31,Credit,4308.77,Groceries,New Zealand,ATM
50189,20235,2026-08-26,Debit,282.83,Groceries,New Zealand,Mobile
50190,20176,2026-06-30,Debit,3911.02,Travel,New Zealand,Online
50191,20120,2026-06-03,Credit,138.6,Salary,New Zealand,ATM
50192,20264,2026-02-26,Credit,114.59,Utilities,New Zealand,ATM
50193,20213,2026-05-20,Debit,3159.36,Salary,New Zealand,POS
50194,20114,2026-01-31,Debit,3100.42,Utilities,New Zealand,Branch
50195,20201,2026-08-27,Debit,3223.64,Fuel,United Kingdom,Online
50196,20014,2026-08-30,Credit,2052.48,Travel,Canada,Online
50197,20181,2026-08-10,Debit,551.98,Dining,Australia,Online
50198,20229,2026-03-16,Debit,116.93,Retail,UAE,ATM
50199,20109,2026-04-27,Debit,3429.33,Retail,New Zealand,POS
50200,20031,2026-07-02,Debit,1965.6,Groceries,New Zealand,Mobile
50201,20135,2026-03-04,Debit,32.15,Groceries,New Zealand,Branch
50202,20035,2026-04-29,Debit,531.66,Salary,New Zealand,POS
50203,20106,2026-03-20,Credit,1954.48,Transfer,New Zealand,POS
50204,20099,2026-05-15,Credit,3098.87,Retail,New Zealand,Online
50205,20093,2026-03-15,Debit,261.05,ATM,New Zealand,ATM
50206,20274,2026-04-05,Debit,2979.02,Fuel,Singapore,ATM
50207,20220,2026-03-14,Debit,1542.81,Dining,New Zealand,Branch
50208,20298,2026-05-20,Debit,2906.32,Dining,New Zealand,Branch
50209,20320,2026-03-15,Debit,3428.34,Healthcare,New Zealand,Branch
50210,20018,2026-02-25,Credit,2746.6,Travel,New Zealand,POS
50211,20296,2026-07-23,Debit,3768.97,Healthcare,New Zealand,Online
50212,20120,2026-03-25,Debit,1998.39,Utilities,New Zealand,POS
50213,20061,2026-07-05,Debit,836.9,Dining,New Zealand,ATM
50214,20225,2026-04-15,Credit,4071.54,Dining,New Zealand,Mobile
50215,20200,2026-06-07,Credit,3847.92,Fuel,New Zealand,Branch
50216,20075,2026-06-20,Credit,4251.32,ATM,New Zealand,Online
50217,20091,2026-04-29,Debit,3243.07,Transfer,Australia,ATM
50218,20277,2026-06-10,Credit,2539.02,Utilities,New Zealand,Online
50219,20065,2026-03-02,Debit,414.53,Transfer,New Zealand,Mobile
50220,20044,2026-06-24,Credit,1802.09,Healthcare,New Zealand,ATM
50221,20115,2026-05-12,Credit,23.08,Travel,Australia,Branch
50222,20049,2026-07-30,Credit,732.47,Healthcare,New Zealand,Mobile
50223,20017,2026-02-26,Debit,4053.01,Retail,New Zealand,Online
50224,20307,2026-03-29,Debit,2368.35,Retail,United Kingdom,ATM
50225,20290,2026-04-28,Debit,4165.5,Healthcare,UAE,Branch
50226,20298,2026-05-24,Credit,1123.75,Healthcare,Singapore,POS
50227,20167,2026-09-16,Debit,575.77,Utilities,New Zealand,Branch
50228,20074,2026-05-24,Debit,926.68,Groceries,New Zealand,ATM
50229,20045,2026-07-10,Debit,3232.9,ATM,New Zealand,Online
50230,20029,2026-03-09,Credit,1811.88,Groceries,New Zealand,Branch
50231,20219,2026-04-13,Debit,1222.45,Travel,New Zealand,POS
50232,20306,2026-03-22,Credit,3766.12,Transfer,New Zealand,ATM
50233,20218,2026-07-22,Credit,2230.46,Retail,New Zealand,ATM
50234,20277,2026-08-11,Debit,661.91,Dining,New Zealand,ATM
50235,20130,2026-05-03,Credit,3359.02,Travel,New Zealand,ATM
50236,20199,2026-04-20,Debit,1383.03,Fuel,New Zealand,POS
50237,20265,2026-02-07,Credit,119.75,Healthcare,New Zealand,Mobile
50238,20146,2026-02-14,Debit,1212.25,Utilities,Singapore,Mobile
50239,20078,2026-08-19,Debit,90.89,Retail,New Zealand,Branch
50240,20277,2026-03-31,Debit,2899.05,Utilities,United Kingdom,ATM
50241,20319,2026-02-14,Debit,1444.65,ATM,United States,Online
50242,20267,2026-09-13,Debit,2973.09,Transfer,New Zealand,Branch
50243,20193,2026-01-23,Debit,3430.41,Healthcare,New Zealand,POS
50244,20174,2026-07-17,Credit,1472.47,Healthcare,New Zealand,ATM
50245,20059,2026-06-15,Debit,614.24,Utilities,New Zealand,ATM
50246,20100,2026-02-24,Debit,849.23,Transfer,New Zealand,Branch
50247,20176,2026-06-12,Credit,926.82,Travel,New Zealand,POS
50248,20114,2026-08-27,Debit,1605.55,Utilities,United Kingdom,ATM
50249,20035,2026-02-07,Debit,1625.97,Utilities,New Zealand,POS
50250,20066,2026-08-23,Debit,652.45,Retail,New Zealand,Mobile
50251,20302,2026-02-24,Credit,1352.05,Travel,New Zealand,Branch
50252,20135,2026-04-18,Debit,2632.28,Healthcare,New Zealand,Mobile
50253,20034,2026-03-29,Credit,305.03,Groceries,Australia,Branch
50254,20183,2026-09-13,Credit,2953.09,Fuel,New Zealand,Branch
50255,20294,2026-07-24,Credit,4372.89,Salary,New Zealand,Mobile
50256,20112,2026-08-01,Credit,347.87,Salary,New Zealand,ATM
50257,20210,2026-04-14,Debit,1664.72,ATM,New Zealand,Mobile
50258,20214,2026-06-22,Credit,3990.83,Dining,UAE,POS
50259,20114,2026-04-20,Debit,2909.78,Salary,New Zealand,Mobile
50260,20191,2026-04-25,Credit,4108.54,Retail,New Zealand,Online
50261,20079,2026-02-16,Credit,360.52,Groceries,New Zealand,Branch
50262,20201,2026-05-27,Credit,2203.51,Dining,New Zealand,POS
50263,20119,2026-08-11,Debit,3719.26,Retail,New Zealand,Branch
50264,20131,2026-09-05,Debit,1508.37,Retail,New Zealand,ATM
50265,20279,2026-01-01,Debit,3100.15,Travel,New Zealand,Mobile
50266,20209,2026-04-24,Debit,2249.21,Salary,New Zealand,Online
50267,20190,2026-03-20,Credit,1037.17,Healthcare,New Zealand,Branch
50268,20153,2026-09-04,Debit,1912.12,Transfer,New Zealand,POS
50269,20263,2026-03-08,Credit,2799.09,ATM,New Zealand,Mobile
50270,20074,2026-06-05,Debit,3891.83,Retail,New Zealand,POS
50271,20115,2026-07-30,Debit,1205.46,Dining,New Zealand,Online
50272,20203,2026-05-04,Debit,1260.42,Salary,New Zealand,Mobile
50273,20304,2026-08-22,Credit,2806.2,Transfer,New Zealand,Branch
50274,20092,2026-04-03,Debit,438.34,ATM,New Zealand,Mobile
50275,20066,2026-02-18,Debit,4482.93,Healthcare,New Zealand,ATM
50276,20124,2026-03-11,Debit,1589.41,Groceries,India,ATM
50277,20170,2026-09-16,Debit,821.46,Retail,New Zealand,Branch
50278,20184,2026-08-12,Credit,857.49,Transfer,New Zealand,Mobile
50279,20305,2026-05-01,Debit,2230.68,Retail,New Zealand,Branch
50280,20143,2026-05-04,Debit,2950.39,ATM,New Zealand,POS
50281,20255,2026-01-13,Credit,3535.04,Groceries,New Zealand,POS
50282,20137,2026-07-03,Debit,3214.93,Dining,New Zealand,Mobile
50283,20128,2026-09-07,Debit,2901.71,Utilities,New Zealand,Mobile
50284,20070,2026-04-12,Debit,1859.86,Groceries,New Zealand,Mobile
50285,20205,2026-09-05,Debit,3918.2,Salary,Australia,POS
50286,20304,2026-02-21,Debit,2745.09,Retail,New Zealand,Mobile
50287,20279,2026-05-13,Debit,3941.0,Salary,New Zealand,ATM
50288,20238,2026-04-18,Debit,1972.15,Retail,New Zealand,ATM
50289,20034,2026-05-24,Debit,4262.98,Retail,New Zealand,Branch
50290,20180,2026-09-10,Debit,738.45,ATM,New Zealand,Online
50291,20048,2026-06-26,Debit,3786.25,ATM,New Zealand,Branch
50292,20155,2026-06-29,Debit,4314.24,ATM,New Zealand,Mobile
50293,20002,2026-03-07,Credit,3125.49,Travel,UAE,ATM
50294,20190,2026-07-12,Debit,1537.44,ATM,New Zealand,POS
50295,20261,2026-05-11,Credit,757.96,Healthcare,New Zealand,Branch
50296,20007,2026-08-23,Debit,1917.19,Healthcare,New Zealand,POS
50297,20169,2026-03-08,Debit,3204.83,Utilities,New Zealand,Mobile
50298,20218,2026-01-06,Debit,2744.86,Travel,Australia,Online
50299,20112,2026-01-05,Debit,432.76,Dining,New Zealand,ATM
50300,20310,2026-07-21,Credit,385.41,ATM,New Zealand,Branch
50301,20140,2026-08-31,Debit,2136.98,Transfer,Singapore,Mobile
50302,20148,2026-06-17,Debit,2179.8,Transfer,United States,POS
50303,20221,2026-06-05,Credit,2581.92,Fuel,Australia,Branch
50304,20016,2026-05-07,Debit,3028.01,Groceries,New Zealand,POS
50305,20268,2026-01-12,Credit,4167.03,Travel,New Zealand,Online
50306,20025,2026-09-01,Credit,470.33,Travel,United States,ATM
50307,20180,2026-04-09,Debit,1636.6,Utilities,New Zealand,POS
50308,20320,2026-03-07,Credit,2747.71,Dining,New Zealand,Mobile
50309,20253,2026-06-02,Debit,1587.65,Groceries,New Zealand,Mobile
50310,20162,2026-04-08,Debit,3263.56,Utilities,New Zealand,Branch
50311,20204,2026-01-11,Debit,872.07,Dining,New Zealand,Mobile
50312,20157,2026-04-02,Debit,2767.5,Fuel,Singapore,Mobile
50313,20118,2026-06-16,Credit,984.94,Transfer,New Zealand,ATM
50314,20159,2026-07-24,Debit,1873.48,ATM,New Zealand,Mobile
50315,20085,2026-04-26,Credit,1619.77,Groceries,New Zealand,Online
50316,20314,2026-02-19,Debit,3885.93,ATM,Australia,Branch
50317,20136,2026-05-20,Debit,2569.44,Travel,New Zealand,Mobile
50318,20135,2026-09-09,Debit,1984.07,Retail,New Zealand,Branch
50319,20027,2026-06-20,Credit,2757.06,Groceries,Australia,Mobile
50320,20298,2026-06-09,Debit,1532.28,ATM,New Zealand,Branch
50321,20245,2026-06-27,Debit,2876.39,Fuel,New Zealand,Mobile
50322,20272,2026-01-28,Debit,3359.63,Dining,New Zealand,ATM
50323,20286,2026-01-25,Debit,3419.48,Groceries,Australia,Online
50324,20247,2026-07-09,Credit,1886.47,Salary,United States,Mobile
50325,20001,2026-07-15,Debit,1795.34,ATM,New Zealand,POS
50326,20252,2026-08-23,Credit,3048.68,ATM,New Zealand,ATM
50327,20003,2026-05-09,Debit,1103.95,Salary,New Zealand,Online
50328,20104,2026-06-28,Debit,2316.25,Travel,New Zealand,Branch
50329,20105,2026-02-23,Credit,155.74,ATM,New Zealand,Mobile
50330,20097,2026-05-31,Debit,4306.88,Transfer,New Zealand,Mobile
50331,20183,2026-05-04,Debit,209.06,Transfer,New Zealand,ATM
50332,20052,2026-01-04,Credit,1840.33,Retail,New Zealand,Branch
50333,20292,2026-07-16,Credit,128.1,Transfer,New Zealand,Mobile
50334,20230,2026-05-16,Debit,3813.47,Healthcare,New Zealand,Mobile
50335,20090,2026-07-19,Debit,1832.62,ATM,New Zealand,Mobile
50336,20136,2026-02-14,Debit,3156.35,Travel,New Zealand,ATM
50337,20047,2026-03-01,Debit,1628.12,Transfer,New Zealand,POS
50338,20126,2026-01-08,Debit,2079.47,Travel,New Zealand,Mobile
50339,20226,2026-09-04,Debit,937.17,ATM,New Zealand,Online
50340,20299,2026-02-09,Debit,4464.4,Salary,New Zealand,Mobile
50341,20058,2026-01-10,Credit,1963.14,Salary,New Zealand,Online
50342,20082,2026-06-13,Debit,789.09,Healthcare,New Zealand,Online
50343,20084,2026-08-11,Debit,35.22,Dining,New Zealand,Online
50344,20244,2026-08-22,Debit,2075.6,Travel,New Zealand,Online
50345,20059,2026-06-01,Debit,1383.03,Salary,New Zealand,Branch
50346,20175,2026-09-09,Credit,427.33,Healthcare,New Zealand,Mobile
50347,20228,2026-04-24,Debit,2217.05,Dining,New Zealand,POS
50348,20313,2026-04-07,Credit,430.17,Healthcare,New Zealand,ATM
50349,20090,2026-09-07,Debit,2229.89,Retail,New Zealand,POS
50350,20139,2026-05-25,Debit,952.8,Utilities,Australia,POS
50351,20024,2026-05-01,Debit,1794.13,Utilities,New Zealand,ATM
50352,20274,2026-09-01,Credit,1830.63,Healthcare,New Zealand,Mobile
50353,20025,2026-06-14,Debit,3010.29,ATM,Canada,Mobile
50354,20283,2026-01-22,Debit,1589.75,Travel,India,Online
50355,20080,2026-08-15,Credit,1411.18,Groceries,New Zealand,ATM
50356,20071,2026-06-19,Debit,2102.23,Retail,UAE,Branch
50357,20014,2026-02-04,Credit,3265.18,Retail,New Zealand,ATM
50358,20039,2026-04-05,Credit,1961.4,Dining,New Zealand,Online
50359,20165,2026-09-03,Debit,412.15,Fuel,Australia,Mobile
50360,20231,2026-03-14,Debit,2443.72,Healthcare,New Zealand,POS
50361,20150,2026-09-05,Debit,1628.97,Dining,New Zealand,Mobile
50362,20075,2026-03-28,Credit,492.39,ATM,United States,Online
50363,20239,2026-09-03,Debit,2327.96,Groceries,New Zealand,ATM
50364,20256,2026-07-01,Debit,2554.43,Transfer,New Zealand,Mobile
50365,20269,2026-03-10,Debit,2466.88,Travel,Australia,ATM
50366,20158,2026-03-04,Debit,2593.28,Travel,India,Mobile
50367,20220,2026-05-18,Credit,2980.87,Fuel,New Zealand,Branch
50368,20126,2026-04-26,Debit,4222.17,Fuel,New Zealand,Branch
50369,20258,2026-05-14,Debit,2587.41,Utilities,New Zealand,Mobile
50370,20186,2026-07-16,Credit,1271.95,ATM,New Zealand,Mobile
50371,20031,2026-04-17,Credit,2020.28,Retail,New Zealand,Online
50372,20241,2026-03-13,Debit,3056.93,Retail,Canada,Online
50373,20246,2026-04-24,Debit,367.83,Salary,New Zealand,Mobile
50374,20187,2026-01-22,Debit,3961.1,Retail,New Zealand,Online
50375,20307,2026-05-12,Credit,3576.9,Groceries,New Zealand,ATM
50376,20252,2026-07-05,Debit,1463.56,Fuel,New Zealand,Mobile
50377,20169,2026-05-09,Debit,2363.28,Salary,New Zealand,Online
50378,20080,2026-03-05,Debit,3116.79,Transfer,Singapore,Mobile
50379,20153,2026-01-02,Credit,4041.11,Travel,UAE,ATM
50380,20298,2026-08-30,Credit,4065.54,ATM,New Zealand,POS
50381,20221,2026-06-05,Credit,3621.33,Travel,New Zealand,Mobile
50382,20007,2026-02-17,Debit,1967.06,ATM,Singapore,Branch
50383,20234,2026-05-16,Credit,4419.52,Healthcare,New Zealand,Mobile
50384,20078,2026-03-29,Debit,2129.53,ATM,New Zealand,Online
50385,20002,2026-02-14,Debit,3887.98,Fuel,New Zealand,ATM
50386,20058,2026-01-06,Debit,2226.27,Retail,UAE,Online
50387,20048,2026-05-15,Debit,415.45,Utilities,New Zealand,ATM
50388,20050,2026-06-03,Debit,3197.54,Healthcare,New Zealand,ATM
